-----------------------------------------
| rollout/                |             |
|    total_timesteps      | 92160        |
| train/                  |              |
|    approx_kl            | 0.0005565961 |
|    clip_fraction        | 0.024        |
|    clip_range           | 0.1          |
|    entropy_loss         | -0.179       |
|    explained_variance   | 0.411        |
|    learning_rate        | 5e-05        |
|    loss                 | 8.44         |
|    n_updates            | 3560         |
|    policy_gradient_loss | -0.00149     |
|    value_loss           | 24.3         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 6.75         |
|    ep_rew_mean          | -8.74        |
| time/                   |              |
|    fps                  | 1389         |
|    iterations           | 100          |
|    time_elapsed         | 73           |
|    total_timesteps      | 102400       |
| train/                  |              |
|    approx_kl            | 0.0006025919 |
|    clip_fraction        | 0.0236       |
|    clip_range           | 0.1          |
|    entropy_loss         | -0.161       |
|    explained_variance   | 0.466        |
|    learning_rate        | 5e-05        |
|    loss                 | 5.52         |
|    n_updates            | 3960         |
|    policy_gradient_loss | -0.00212     |
|    value_loss           | 16.7         |
------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 6.63          |
|    ep_rew_mean          | -7.92         |
| time/                   |               |
|    fps                  | 1397          |
|    iterations           | 110           |
|    time_elapsed         | 80            |
|    total_timesteps      | 112640        |
| train/                  |               |
|    approx_kl            | 0.00031326304 |
|    clip_fraction        | 0.0152        |
|    clip_range           | 0.1           |
|    entropy_loss         | -0.178        |
|    explained_variance   | 0.447         |
|    learning_rate        | 5e-05         |
|    loss                 | 6.2           |
|    n_updates            | 4360          |
|    policy_gradient_loss | -0.0016       |
|    value_loss           | 18.2          |
-------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 7.2          |
|    ep_rew_mean          | -7.05        |
| time/                   |              |
|    fps                  | 1405         |
|    iterations           | 120          |
|    time_elapsed         | 87           |
|    total_timesteps      | 122880       |
| train/                  |              |
|    approx_kl            | 0.0003102204 |
|    clip_fraction        | 0.00959      |
|    clip_range           | 0.1          |
|    entropy_loss         | -0.147       |
|    explained_variance   | 0.458        |
|    learning_rate        | 5e-05        |
|    loss                 | 5.9          |
|    n_updates            | 4760         |
|    policy_gradient_loss | -0.00155     |
|    value_loss           | 19.8         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 7.23         |
|    ep_rew_mean          | -7.31        |
| time/                   |              |
|    fps                  | 1413         |
|    iterations           | 130          |
|    time_elapsed         | 94           |
|    total_timesteps      | 133120       |
| train/                  |              |
|    approx_kl            | 0.0006440546 |
|    clip_fraction        | 0.0292       |
|    clip_range           | 0.1          |
|    entropy_loss         | -0.163       |
|    explained_variance   | 0.4          |
|    learning_rate        | 5e-05        |
|    loss                 | 7.06         |
|    n_updates            | 5160         |
|    policy_gradient_loss | -0.00222     |
|    value_loss           | 19.9         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 6.74         |
|    ep_rew_mean          | -8.95        |
| time/                   |              |
|    fps                  | 1419         |
|    iterations           | 140          |
|    time_elapsed         | 100          |
|    total_timesteps      | 143360       |
| train/                  |              |
|    approx_kl            | 0.0005110586 |
|    clip_fraction        | 0.0276       |
|    clip_range           | 0.1          |
|    entropy_loss         | -0.18        |
|    explained_variance   | 0.528        |
|    learning_rate        | 5e-05        |
|    loss                 | 4.19         |
|    n_updates            | 5560         |
|    policy_gradient_loss | -0.00267     |
|    value_loss           | 15.1         |
------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 6.85          |
|    ep_rew_mean          | -7.83         |
| time/                   |               |
|    fps                  | 1428          |
|    iterations           | 150           |
|    time_elapsed         | 107           |
|    total_timesteps      | 153600        |
| train/                  |               |
|    approx_kl            | 0.00063361065 |
|    clip_fraction        | 0.0257        |
|    clip_range           | 0.1           |
|    entropy_loss         | -0.18         |
|    explained_variance   | 0.437         |
|    learning_rate        | 5e-05         |
|    loss                 | 6.24          |
|    n_updates            | 5960          |
|    policy_gradient_loss | -0.00186      |
|    value_loss           | 20.1          |
-------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 7.35         |
|    ep_rew_mean          | -6.86        |
| time/                   |              |
|    fps                  | 1430         |
|    iterations           | 160          |
|    time_elapsed         | 114          |
|    total_timesteps      | 163840       |
| train/                  |              |
|    approx_kl            | 0.0005034385 |
|    clip_fraction        | 0.0235       |
|    clip_range           | 0.1          |
|    entropy_loss         | -0.165       |
|    explained_variance   | 0.397        |
|    learning_rate        | 5e-05        |
|    loss                 | 6.58         |
|    n_updates            | 6360         |
|    policy_gradient_loss | -0.00216     |
|    value_loss           | 23.3         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 7.19         |
|    ep_rew_mean          | -7.04        |
| time/                   |              |
|    fps                  | 1433         |
|    iterations           | 170          |
|    time_elapsed         | 121          |
|    total_timesteps      | 174080       |
| train/                  |              |
|    approx_kl            | 0.0007475417 |
|    clip_fraction        | 0.0287       |
|    clip_range           | 0.1          |
|    entropy_loss         | -0.185       |
|    explained_variance   | 0.411        |
|    learning_rate        | 5e-05        |
|    loss                 | 6.94         |
|    n_updates            | 6760         |
|    policy_gradient_loss | -0.00215     |
|    value_loss           | 21.8         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 7.05         |
|    ep_rew_mean          | -7.63        |
| time/                   |              |
|    fps                  | 1437         |
|    iterations           | 180          |
|    time_elapsed         | 128          |
|    total_timesteps      | 184320       |
| train/                  |              |
|    approx_kl            | 0.0004405614 |
|    clip_fraction        | 0.0227       |
|    clip_range           | 0.1          |
|    entropy_loss         | -0.178       |
|    explained_variance   | 0.401        |
|    learning_rate        | 5e-05        |
|    loss                 | 6.84         |
|    n_updates            | 7160         |
|    policy_gradient_loss | -0.00217     |
|    value_loss           | 21.7         |
------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 6.5           |
|    ep_rew_mean          | -8.9          |
| time/                   |               |
|    fps                  | 1441          |
|    iterations           | 190           |
|    time_elapsed         | 135           |
|    total_timesteps      | 194560        |
| train/                  |               |
|    approx_kl            | 0.00050119153 |
|    clip_fraction        | 0.016         |
|    clip_range           | 0.1           |
|    entropy_loss         | -0.187        |
|    explained_variance   | 0.411         |
|    learning_rate        | 5e-05         |
|    loss                 | 9.09          |
|    n_updates            | 7560          |
|    policy_gradient_loss | -0.00167      |
|    value_loss           | 30.4          |
-------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 7.25         |
|    ep_rew_mean          | -6.87        |
| time/                   |              |
|    fps                  | 1443         |
|    iterations           | 200          |
|    time_elapsed         | 141          |
|    total_timesteps      | 204800       |
| train/                  |              |
|    approx_kl            | 0.0003891866 |
|    clip_fraction        | 0.0172       |
|    clip_range           | 0.1          |
|    entropy_loss         | -0.178       |
|    explained_variance   | 0.439        |
|    learning_rate        | 5e-05        |
|    loss                 | 5.09         |
|    n_updates            | 7960         |
|    policy_gradient_loss | -0.00168     |
|    value_loss           | 17.8         |
------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 7.26          |
|    ep_rew_mean          | -6.67         |
| time/                   |               |
|    fps                  | 1446          |
|    iterations           | 210           |
|    time_elapsed         | 148           |
|    total_timesteps      | 215040        |
| train/                  |               |
|    approx_kl            | 0.00046584994 |
|    clip_fraction        | 0.017         |
|    clip_range           | 0.1           |
|    entropy_loss         | -0.169        |
|    explained_variance   | 0.416         |
|    learning_rate        | 5e-05         |
|    loss                 | 8.46          |
|    n_updates            | 8360          |
|    policy_gradient_loss | -0.00225      |
|    value_loss           | 26.9          |
-------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 6.58         |
|    ep_rew_mean          | -8.72        |
| time/                   |              |
|    fps                  | 1451         |
|    iterations           | 220          |
|    time_elapsed         | 155          |
|    total_timesteps      | 225280       |
| train/                  |              |
|    approx_kl            | 0.0007357692 |
|    clip_fraction        | 0.032        |
|    clip_range           | 0.1          |
|    entropy_loss         | -0.17        |
|    explained_variance   | 0.433        |
|    learning_rate        | 5e-05        |
|    loss                 | 4.86         |
|    n_updates            | 8760         |
|    policy_gradient_loss | -0.00262     |
|    value_loss           | 22.8         |
------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 7.21          |
|    ep_rew_mean          | -7.24         |
| time/                   |               |
|    fps                  | 1455          |
|    iterations           | 230           |
|    time_elapsed         | 161           |
|    total_timesteps      | 235520        |
| train/                  |               |
|    approx_kl            | 0.00035852642 |
|    clip_fraction        | 0.019         |
|    clip_range           | 0.1           |
|    entropy_loss         | -0.161        |
|    explained_variance   | 0.453         |
|    learning_rate        | 5e-05         |
|    loss                 | 5.84          |
|    n_updates            | 9160          |
|    policy_gradient_loss | -0.0018       |
|    value_loss           | 21            |
-------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 7.18          |
|    ep_rew_mean          | -6.36         |
| time/                   |               |
|    fps                  | 1461          |
|    iterations           | 240           |
|    time_elapsed         | 168           |
|    total_timesteps      | 245760        |
| train/                  |               |
|    approx_kl            | 0.00031582458 |
|    clip_fraction        | 0.0161        |
|    clip_range           | 0.1           |
|    entropy_loss         | -0.135        |
|    explained_variance   | 0.487         |
|    learning_rate        | 5e-05         |
|    loss                 | 6.16          |
|    n_updates            | 9560          |
|    policy_gradient_loss | -0.00203      |
|    value_loss           | 19.2          |
-------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 6.82         |
|    ep_rew_mean          | -7.88        |
| time/                   |              |
|    fps                  | 1462         |
|    iterations           | 250          |
|    time_elapsed         | 175          |
|    total_timesteps      | 256000       |
| train/                  |              |
|    approx_kl            | 0.0007390219 |
|    clip_fraction        | 0.0344       |
|    clip_range           | 0.1          |
|    entropy_loss         | -0.158       |
|    explained_variance   | 0.438        |
|    learning_rate        | 5e-05        |
|    loss                 | 6.2          |
|    n_updates            | 9960         |
|    policy_gradient_loss | -0.00194     |
|    value_loss           | 19.1         |
------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 7.27          |
|    ep_rew_mean          | -6.92         |
| time/                   |               |
|    fps                  | 1464          |
|    iterations           | 260           |
|    time_elapsed         | 181           |
|    total_timesteps      | 266240        |
| train/                  |               |
|    approx_kl            | 0.00060981757 |
|    clip_fraction        | 0.0311        |
|    clip_range           | 0.1           |
|    entropy_loss         | -0.133        |
|    explained_variance   | 0.436         |
|    learning_rate        | 5e-05         |
|    loss                 | 6.52          |
|    n_updates            | 10360         |
|    policy_gradient_loss | -0.00192      |
|    value_loss           | 19.7          |
-------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 7.31         |
|    ep_rew_mean          | -6.65        |
| time/                   |              |
|    fps                  | 1466         |
|    iterations           | 270          |
|    time_elapsed         | 188          |
|    total_timesteps      | 276480       |
| train/                  |              |
|    approx_kl            | 0.0005297979 |
|    clip_fraction        | 0.0313       |
|    clip_range           | 0.1          |
|    entropy_loss         | -0.152       |
|    explained_variance   | 0.428        |
|    learning_rate        | 5e-05        |
|    loss                 | 6.5          |
|    n_updates            | 10760        |
|    policy_gradient_loss | -0.00218     |
|    value_loss           | 24.4         |
------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 7.11          |
|    ep_rew_mean          | -6.95         |
| time/                   |               |
|    fps                  | 1467          |
|    iterations           | 280           |
|    time_elapsed         | 195           |
|    total_timesteps      | 286720        |
| train/                  |               |
|    approx_kl            | 0.00051706226 |
|    clip_fraction        | 0.0157        |
|    clip_range           | 0.1           |
|    entropy_loss         | -0.142        |
|    explained_variance   | 0.47          |
|    learning_rate        | 5e-05         |
|    loss                 | 5.67          |
|    n_updates            | 11160         |
|    policy_gradient_loss | -0.00149      |
|    value_loss           | 17.2          |
-------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 6.8           |
|    ep_rew_mean          | -8.49         |
| time/                   |               |
|    fps                  | 1469          |
|    iterations           | 290           |
|    time_elapsed         | 202           |
|    total_timesteps      | 296960        |
| train/                  |               |
|    approx_kl            | 0.00049252686 |
|    clip_fraction        | 0.0259        |
|    clip_range           | 0.1           |
|    entropy_loss         | -0.131        |
|    explained_variance   | 0.487         |
|    learning_rate        | 5e-05         |
|    loss                 | 4.74          |
|    n_updates            | 11560         |
|    policy_gradient_loss | -0.00199      |
|    value_loss           | 16            |
-------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 6.75          |
|    ep_rew_mean          | -7.89         |
| time/                   |               |
|    fps                  | 1472          |
|    iterations           | 300           |
|    time_elapsed         | 208           |
|    total_timesteps      | 307200        |
| train/                  |               |
|    approx_kl            | 0.00067837833 |
|    clip_fraction        | 0.028         |
|    clip_range           | 0.1           |
|    entropy_loss         | -0.148        |
|    explained_variance   | 0.436         |
|    learning_rate        | 5e-05         |
|    loss                 | 4.61          |
|    n_updates            | 11960         |
|    policy_gradient_loss | -0.00192      |
|    value_loss           | 18            |
-------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 7.35          |
|    ep_rew_mean          | -6.36         |
| time/                   |               |
|    fps                  | 1472          |
|    iterations           | 310           |
|    time_elapsed         | 215           |
|    total_timesteps      | 317440        |
| train/                  |               |
|    approx_kl            | 0.00033483934 |
|    clip_fraction        | 0.0187        |
|    clip_range           | 0.1           |
|    entropy_loss         | -0.131        |
|    explained_variance   | 0.455         |
|    learning_rate        | 5e-05         |
|    loss                 | 6.74          |
|    n_updates            | 12360         |
|    policy_gradient_loss | -0.00177      |
|    value_loss           | 22.3          |
-------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 7.14         |
|    ep_rew_mean          | -6.83        |
| time/                   |              |
|    fps                  | 1472         |
|    iterations           | 320          |
|    time_elapsed         | 222          |
|    total_timesteps      | 327680       |
| train/                  |              |
|    approx_kl            | 0.0010387276 |
|    clip_fraction        | 0.0365       |
|    clip_range           | 0.1          |
|    entropy_loss         | -0.136       |
|    explained_variance   | 0.477        |
|    learning_rate        | 5e-05        |
|    loss                 | 4.84         |
|    n_updates            | 12760        |
|    policy_gradient_loss | -0.00308     |
|    value_loss           | 18.1         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 7.02         |
|    ep_rew_mean          | -7.52        |
| time/                   |              |
|    fps                  | 1472         |
|    iterations           | 330          |
|    time_elapsed         | 229          |
|    total_timesteps      | 337920       |
| train/                  |              |
|    approx_kl            | 0.0003283373 |
|    clip_fraction        | 0.0144       |
|    clip_range           | 0.1          |
|    entropy_loss         | -0.114       |
|    explained_variance   | 0.394        |
|    learning_rate        | 5e-05        |
|    loss                 | 8.47         |
|    n_updates            | 13160        |
|    policy_gradient_loss | -0.00191     |
|    value_loss           | 26.7         |
------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 7.24          |
|    ep_rew_mean          | -6.56         |
| time/                   |               |
|    fps                  | 1473          |
|    iterations           | 340           |
|    time_elapsed         | 236           |
|    total_timesteps      | 348160        |
| train/                  |               |
|    approx_kl            | 0.00064487127 |
|    clip_fraction        | 0.0266        |
|    clip_range           | 0.1           |
|    entropy_loss         | -0.12         |
|    explained_variance   | 0.46          |
|    learning_rate        | 5e-05         |
|    loss                 | 5.48          |
|    n_updates            | 13560         |
|    policy_gradient_loss | -0.00236      |
|    value_loss           | 19.6          |
-------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 7.11         |
|    ep_rew_mean          | -7.57        |
| time/                   |              |
|    fps                  | 1473         |
|    iterations           | 350          |
|    time_elapsed         | 243          |
|    total_timesteps      | 358400       |
| train/                  |              |
|    approx_kl            | 0.0005077002 |
|    clip_fraction        | 0.0256       |
|    clip_range           | 0.1          |
|    entropy_loss         | -0.121       |
|    explained_variance   | 0.413        |
|    learning_rate        | 5e-05        |
|    loss                 | 8.44         |
|    n_updates            | 13960        |
|    policy_gradient_loss | -0.0019      |
|    value_loss           | 28           |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 7.15         |
|    ep_rew_mean          | -7.26        |
| time/                   |              |
|    fps                  | 1473         |
|    iterations           | 360          |
|    time_elapsed         | 250          |
|    total_timesteps      | 368640       |
| train/                  |              |
|    approx_kl            | 0.0006859082 |
|    clip_fraction        | 0.0274       |
|    clip_range           | 0.1          |
|    entropy_loss         | -0.125       |
|    explained_variance   | 0.485        |
|    learning_rate        | 5e-05        |
|    loss                 | 4.69         |
|    n_updates            | 14360        |
|    policy_gradient_loss | -0.00243     |
|    value_loss           | 16.7         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 6.76         |
|    ep_rew_mean          | -7.57        |
| time/                   |              |
|    fps                  | 1474         |
|    iterations           | 370          |
|    time_elapsed         | 256          |
|    total_timesteps      | 378880       |
| train/                  |              |
|    approx_kl            | 0.0005413335 |
|    clip_fraction        | 0.0224       |
|    clip_range           | 0.1          |
|    entropy_loss         | -0.111       |
|    explained_variance   | 0.472        |
|    learning_rate        | 5e-05        |
|    loss                 | 5.37         |
|    n_updates            | 14760        |
|    policy_gradient_loss | -0.00209     |
|    value_loss           | 18.4         |
------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 6.92          |
|    ep_rew_mean          | -7.73         |
| time/                   |               |
|    fps                  | 1472          |
|    iterations           | 380           |
|    time_elapsed         | 264           |
|    total_timesteps      | 389120        |
| train/                  |               |
|    approx_kl            | 0.00047496898 |
|    clip_fraction        | 0.0302        |
|    clip_range           | 0.1           |
|    entropy_loss         | -0.12         |
|    explained_variance   | 0.492         |
|    learning_rate        | 5e-05         |
|    loss                 | 5.33          |
|    n_updates            | 15160         |
|    policy_gradient_loss | -0.00192      |
|    value_loss           | 18.4          |
-------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 6.96         |
|    ep_rew_mean          | -7.29        |
| time/                   |              |
|    fps                  | 1473         |
|    iterations           | 390          |
|    time_elapsed         | 271          |
|    total_timesteps      | 399360       |
| train/                  |              |
|    approx_kl            | 0.0006289008 |
|    clip_fraction        | 0.0176       |
|    clip_range           | 0.1          |
|    entropy_loss         | -0.125       |
|    explained_variance   | 0.479        |
|    learning_rate        | 5e-05        |
|    loss                 | 4.54         |
|    n_updates            | 15560        |
|    policy_gradient_loss | -0.00184     |
|    value_loss           | 16.8         |
------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 7.32          |
|    ep_rew_mean          | -6.45         |
| time/                   |               |
|    fps                  | 1472          |
|    iterations           | 400           |
|    time_elapsed         | 278           |
|    total_timesteps      | 409600        |
| train/                  |               |
|    approx_kl            | 0.00087478565 |
|    clip_fraction        | 0.0347        |
|    clip_range           | 0.1           |
|    entropy_loss         | -0.116        |
|    explained_variance   | 0.449         |
|    learning_rate        | 5e-05         |
|    loss                 | 6.7           |
|    n_updates            | 15960         |
|    policy_gradient_loss | -0.00248      |
|    value_loss           | 22.5          |
-------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 7.15         |
|    ep_rew_mean          | -7.41        |
| time/                   |              |
|    fps                  | 1472         |
|    iterations           | 410          |
|    time_elapsed         | 285          |
|    total_timesteps      | 419840       |
| train/                  |              |
|    approx_kl            | 0.0006492128 |
|    clip_fraction        | 0.0239       |
|    clip_range           | 0.1          |
|    entropy_loss         | -0.126       |
|    explained_variance   | 0.438        |
|    learning_rate        | 5e-05        |
|    loss                 | 6.45         |
|    n_updates            | 16360        |
|    policy_gradient_loss | -0.00234     |
|    value_loss           | 20.5         |
------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 6.61          |
|    ep_rew_mean          | -8.65         |
| time/                   |               |
|    fps                  | 1472          |
|    iterations           | 420           |
|    time_elapsed         | 292           |
|    total_timesteps      | 430080        |
| train/                  |               |
|    approx_kl            | 0.00043895474 |
|    clip_fraction        | 0.0216        |
|    clip_range           | 0.1           |
|    entropy_loss         | -0.122        |
|    explained_variance   | 0.43          |
|    learning_rate        | 5e-05         |
|    loss                 | 6.5           |
|    n_updates            | 16760         |
|    policy_gradient_loss | -0.00184      |
|    value_loss           | 22.6          |
-------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 7.62         |
|    ep_rew_mean          | -6           |
| time/                   |              |
|    fps                  | 1472         |
|    iterations           | 430          |
|    time_elapsed         | 298          |
|    total_timesteps      | 440320       |
| train/                  |              |
|    approx_kl            | 0.0011960566 |
|    clip_fraction        | 0.0221       |
|    clip_range           | 0.1          |
|    entropy_loss         | -0.108       |
|    explained_variance   | 0.405        |
|    learning_rate        | 5e-05        |
|    loss                 | 7.65         |
|    n_updates            | 17160        |
|    policy_gradient_loss | -0.00282     |
|    value_loss           | 26.8         |
------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 7.18          |
|    ep_rew_mean          | -6.02         |
| time/                   |               |
|    fps                  | 1471          |
|    iterations           | 440           |
|    time_elapsed         | 306           |
|    total_timesteps      | 450560        |
| train/                  |               |
|    approx_kl            | 0.00054174487 |
|    clip_fraction        | 0.0226        |
|    clip_range           | 0.1           |
|    entropy_loss         | -0.121        |
|    explained_variance   | 0.451         |
|    learning_rate        | 5e-05         |
|    loss                 | 7.05          |
|    n_updates            | 17560         |
|    policy_gradient_loss | -0.00201      |
|    value_loss           | 23.2          |
-------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 7             |
|    ep_rew_mean          | -7.52         |
| time/                   |               |
|    fps                  | 1471          |
|    iterations           | 450           |
|    time_elapsed         | 313           |
|    total_timesteps      | 460800        |
| train/                  |               |
|    approx_kl            | 0.00057050504 |
|    clip_fraction        | 0.0226        |
|    clip_range           | 0.1           |
|    entropy_loss         | -0.11         |
|    explained_variance   | 0.437         |
|    learning_rate        | 5e-05         |
|    loss                 | 6.18          |
|    n_updates            | 17960         |
|    policy_gradient_loss | -0.00247      |
|    value_loss           | 22            |
-------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 6.87         |
|    ep_rew_mean          | -7.16        |
| time/                   |              |
|    fps                  | 1471         |
|    iterations           | 460          |
|    time_elapsed         | 320          |
|    total_timesteps      | 471040       |
| train/                  |              |
|    approx_kl            | 0.0013605705 |
|    clip_fraction        | 0.0289       |
|    clip_range           | 0.1          |
|    entropy_loss         | -0.104       |
|    explained_variance   | 0.486        |
|    learning_rate        | 5e-05        |
|    loss                 | 4.96         |
|    n_updates            | 18360        |
|    policy_gradient_loss | -0.00261     |
|    value_loss           | 16.1         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 7.14         |
|    ep_rew_mean          | -6.88        |
| time/                   |              |
